Date,PlanningType,Company,store,Brand Code,Budget Sales Amount,Budget Margin Amount,Budget Cost Amount,FashionCOGS
07/01/2022,BUDGET,cocouae,C555,coco,145158.5206,75022.88783,70097.63482,57787.01834
09/01/2022,BUDGET,cocouae,C555,coco,145121.9455,74994.28602,70088.88499,57793.10536
11/01/2022,BUDGET,cocouae,C555,coco,145159.1929,75016.21929,70118.8662,57793.73149
16/01/2022,BUDGET,cocouae,C555,coco,145152.5931,75000.35308,70096.91001,57750.83666
18/01/2022,BUDGET,cocouae,C555,coco,145127.7888,75010.49502,70096.4598,57788.68156
04/01/2022,BUDGET,cocouae,C555,coco,145119.6576,75024.41577,70121.87218,57777.14708
06/01/2022,BUDGET,cocouae,C555,coco,145115.0636,75004.69442,70115.63098,57760.13449
21/01/2022,BUDGET,cocouae,C555,coco,145125.1866,75020.50589,70118.85207,57785.91648
23/01/2022,BUDGET,cocouae,C555,coco,145134.7381,74995.75784,70095.76442,57769.96887
07/02/2022,BUDGET,cocouae,C555,coco,128538.51,72216.27956,56316.39905,45354.1006
09/02/2022,BUDGET,cocouae,C555,coco,128563.7094,72234.40012,56294.98946,45387.01641
13/01/2022,BUDGET,cocouae,C555,coco,145141.8847,75012.81999,70111.12796,57755.48098
14/01/2022,BUDGET,cocouae,C555,coco,145131.4809,74979.79542,70094.84569,57780.93922
28/01/2022,BUDGET,cocouae,C555,coco,145128.8096,75001.02316,70101.62044,57786.44313
31/01/2022,BUDGET,cocouae,C555,coco,145119.6745,75010.4118,70126.58562,57784.42935
01/02/2022,BUDGET,cocouae,C555,coco,128546.6835,72207.36234,56290.11828,45354.09519
02/01/2022,BUDGET,cocouae,C555,coco,145141.7381,75006.63407,70110.30545,57748.80813
25/01/2022,BUDGET,cocouae,C555,coco,145117.5658,75007.32191,70092.45662,57775.12083
27/01/2022,BUDGET,cocouae,C555,coco,145114.5538,74980.66421,70089.16433,57781.86045
03/02/2022,BUDGET,cocouae,C555,coco,128543.3605,72225.46509,56309.71055,45358.72362
05/02/2022,BUDGET,cocouae,C555,coco,128538.7358,72240.88828,56285.46919,45355.17333
03/01/2022,BUDGET,cocouae,C555,coco,145143.784,75023.46404,70127.31139,57766.68261
05/01/2022,BUDGET,cocouae,C555,coco,145113.6448,75010.22658,70121.98062,57754.06125
20/01/2022,BUDGET,cocouae,C555,coco,145128.5702,75017.14989,70107.91991,57753.91236
22/01/2022,BUDGET,cocouae,C555,coco,145139.8914,74988.69156,70106.87937,57771.08335
06/02/2022,BUDGET,cocouae,C555,coco,128542.7993,72231.94045,56317.46694,45345.05161
08/02/2022,BUDGET,cocouae,C555,coco,128545.4359,72237.40325,56302.07219,45354.41082
10/01/2022,BUDGET,cocouae,C555,coco,145156.9639,74982.84787,70085.97601,57777.86687
17/01/2022,BUDGET,cocouae,C555,coco,145159.8688,74995.50888,70127.14841,57755.86186
24/01/2022,BUDGET,cocouae,C555,coco,145130.2604,75028.67303,70131.47305,57784.36838
04/02/2022,BUDGET,cocouae,C555,coco,128556.0686,72216.10562,56269.38237,45364.65025
01/01/2022,BUDGET,cocouae,C555,coco,145134.8238,75010.70597,70095.51126,57749.64778
08/01/2022,BUDGET,cocouae,C555,coco,145112.8754,74982.12136,70110.61218,57753.39029
19/01/2022,BUDGET,cocouae,C555,coco,145134.459,75012.72129,70106.77446,57770.21209
26/01/2022,BUDGET,cocouae,C555,coco,145133.8026,74993.06492,70119.47165,57752.62267
02/02/2022,BUDGET,cocouae,C555,coco,128523.9294,72227.32031,56312.74396,45356.75528
12/01/2022,BUDGET,cocouae,C555,coco,145120.7422,75000.49641,70126.90055,57761.50866
15/01/2022,BUDGET,cocouae,C555,coco,145144.0082,75024.02303,70088.02617,57784.53989
29/01/2022,BUDGET,cocouae,C555,coco,145129.5632,75001.03457,70086.73958,57753.94276
30/01/2022,BUDGET,cocouae,C555,coco,145144.8082,74992.46694,70126.13458,57762.50573
10/02/2022,BUDGET,cocouae,C555,coco,128554.2485,72233.40542,56295.68164,45370.30637
12/02/2022,BUDGET,cocouae,C555,coco,128543.0588,72233.02098,56299.27421,45367.27173
19/02/2022,BUDGET,cocouae,C555,coco,128554.0918,72220.68826,56312.19136,45346.06152
21/02/2022,BUDGET,cocouae,C555,coco,128545.7204,72248.45175,56271.22951,45380.49122
16/03/2022,BUDGET,cocouae,C555,coco,122579.9574,67206.70847,55331.86101,44925.44563
22/02/2022,BUDGET,cocouae,C555,coco,128523.7012,72206.67498,56282.73929,45363.64759
24/02/2022,BUDGET,cocouae,C555,coco,128560.6822,72232.65308,56276.88169,45377.73114
26/02/2022,BUDGET,cocouae,C555,coco,128564.0101,72234.86314,56302.62807,45381.02785
11/03/2022,BUDGET,cocouae,C555,coco,122554.3674,67181.01346,55340.82821,44912.27101
13/03/2022,BUDGET,cocouae,C555,coco,122567.52,67199.63957,55344.53095,44932.78171
14/02/2022,BUDGET,cocouae,C555,coco,128539.5167,72231.74099,56312.01008,45364.09393
15/02/2022,BUDGET,cocouae,C555,coco,128531.8796,72233.64591,56287.92596,45372.51377
04/03/2022,BUDGET,cocouae,C555,coco,122554.8532,67219.25191,55340.60705,44914.14311
05/03/2022,BUDGET,cocouae,C555,coco,122555.3816,67210.00817,55341.83056,44888.37922
22/03/2022,BUDGET,cocouae,C555,coco,122536.7856,67224.65972,55337.78457,44917.35548
23/03/2022,BUDGET,cocouae,C555,coco,122569.6483,67207.13574,55320.90639,44889.92422
11/02/2022,BUDGET,cocouae,C555,coco,128532.4746,72236.03609,56291.4665,45364.72092
18/02/2022,BUDGET,cocouae,C555,coco,128524.0891,72229.45527,56299.59536,45373.39758
01/03/2022,BUDGET,cocouae,C555,coco,122574.6724,67205.47758,55350.56278,44889.28511
08/03/2022,BUDGET,cocouae,C555,coco,122536.7202,67206.35948,55314.09898,44908.26193
15/03/2022,BUDGET,cocouae,C555,coco,122569.3814,67185.82731,55349.73483,44929.86897
19/03/2022,BUDGET,cocouae,C555,coco,122576.0505,67210.06205,55325.56384,44929.37317
28/02/2022,BUDGET,cocouae,C555,coco,128564.2968,72218.07938,56307.64844,45387.34336
02/03/2022,BUDGET,cocouae,C555,coco,122569.8531,67221.326,55347.07386,44912.94615
07/03/2022,BUDGET,cocouae,C555,coco,122538.4905,67213.62604,55331.23065,44891.88079
09/03/2022,BUDGET,cocouae,C555,coco,122567.4667,67217.40282,55329.25278,44887.22834
23/02/2022,BUDGET,cocouae,C555,coco,128544.3402,72218.0006,56305.14382,45371.90118
25/02/2022,BUDGET,cocouae,C555,coco,128550.157,72204.91276,56306.54881,45349.00226
12/03/2022,BUDGET,cocouae,C555,coco,122564.363,67177.90168,55315.25658,44931.63592
14/03/2022,BUDGET,cocouae,C555,coco,122564.4878,67208.87132,55324.9862,44922.30778
13/02/2022,BUDGET,cocouae,C555,coco,128556.9761,72243.8945,56274.03788,45341.456
20/02/2022,BUDGET,cocouae,C555,coco,128559.8953,72227.24807,56294.29869,45348.99944
