Country,date,Holiday
UAE,3/12/2022,National Day
UAE,2/12/2022,National Day
UAE,1/12/2022,Commemoration Day
UAE,8/10/2022,Prophet's Birthday
UAE,30/07/2022,Islamic New Year
UAE,11/7/2022,Eid al-Adha
UAE,10/7/2022,Eid al-Adha
UAE,9/7/2022,Eid al-Adha
UAE,8/7/2022,Eid al-Adha
UAE,4/5/2022,Eid al-Fitr
UAE,3/5/2022,Eid al-Fitr
UAE,2/5/2022,Eid al-Fitr
UAE,1/5/2022,Eid al-Fitr
UAE,30/04/2022,Eid al-Fitr
UAE,3/12/2021,National Day
UAE,2/12/2021,National Day
UAE,1/12/2021,Commemoration Day
UAE,21/10/2021,Prophet's Birthday
UAE,12/8/2021,Islamic New Year
UAE,22/07/2021,Eid al-Adha
UAE,21/07/2021,Eid al-Adha
UAE,20/07/2021,Eid al-Adha
UAE,19/07/2021,Eid al-Adha
UAE,15/05/2021,Eid al-Fitr
UAE,14/05/2021,Eid al-Fitr
UAE,13/05/2021,Eid al-Fitr
UAE,12/5/2021,Eid al-Fitr
UAE,11/5/2021,Eid al-Fitr
UAE,2/12/2020,National Day
UAE,30/11/2020,Commemoration Day
UAE,29/08/2020,Prophet's Birthday
UAE,28/08/2020,Prophet's Birthday
UAE,21/08/2020,Islamic New Year
UAE,20/08/2020,Islamic New Year
UAE,19/08/2020,Islamic New Year
UAE,2/8/2020,Eid al-Adha
UAE,1/8/2020,Eid al-Adha
UAE,31/07/2020,Eid al-Adha
UAE,30/06/2020,Day of Arafat
UAE,29/06/2020,Day of Arafat
UAE,25/05/2020,Eid al-Fitr
UAE,24/05/2020,Eid al-Fitr
UAE,23/05/2020,Eid al-Fitr Eve
UAE,22/03/2020,Prophet's Ascension
UAE,21/03/2020,Prophet's Ascension
UAE,1/1/2020,New Year
UAE,31/12/2019,Winter Break
UAE,30/12/2019,Winter Break
UAE,29/12/2019,Winter Break
UAE,28/12/2019,Winter Break
UAE,27/12/2019,Winter Break
UAE,26/12/2019,Winter Break
UAE,25/12/2019,Winter Break
UAE,24/12/2019,Winter Break
UAE,23/12/2019,Winter Break
UAE,22/12/2019,Winter Break
UAE,21/12/2019,Winter Break
UAE,20/12/2019,Winter Break
UAE,19/12/2019,Winter Break
UAE,18/12/2019,Winter Break
UAE,17/12/2019,Winter Break
UAE,16/12/2019,Winter Break
UAE,15/12/2019,Winter Break
UAE,3/12/2019,National Day
UAE,2/12/2019,National Day
UAE,9/11/2019,The Prophet's Birthday
UAE,1/9/2019,Summer Break
UAE,31/08/2019,Summer Break
UAE,30/08/2019,Summer Break
UAE,29/08/2019,Summer Break
UAE,28/08/2019,Summer Break
UAE,27/08/2019,Summer Break
UAE,26/08/2019,Summer Break
UAE,25/08/2019,Summer Break
UAE,24/08/2019,Summer Break
UAE,23/08/2019,Summer Break
UAE,22/08/2019,Summer Break
UAE,21/08/2019,Summer Break
UAE,20/08/2019,Summer Break
UAE,19/08/2019,Summer Break
UAE,18/08/2019,Summer Break
UAE,17/08/2019,Summer Break
UAE,16/08/2019,Summer Break
UAE,15/08/2019,Summer Break
UAE,14/08/2019,Summer Break
UAE,13/08/2019,Summer Break
UAE,12/8/2019,Summer Break
UAE,11/8/2019,Summer Break
UAE,10/8/2019,Summer Break
UAE,9/8/2019,Summer Break
UAE,8/8/2019,Summer Break
UAE,7/8/2019,Summer Break
UAE,6/8/2019,Summer Break
UAE,5/8/2019,Summer Break
UAE,4/8/2019,Summer Break
UAE,3/8/2019,Summer Break
UAE,2/8/2019,Summer Break
UAE,1/8/2019,Summer Break
UAE,31/07/2019,Summer Break
UAE,30/07/2019,Summer Break
UAE,29/07/2019,Summer Break
UAE,28/07/2019,Summer Break
UAE,27/07/2019,Summer Break
UAE,26/07/2019,Summer Break
UAE,25/07/2019,Summer Break
UAE,24/07/2019,Summer Break
UAE,23/07/2019,Summer Break
UAE,22/07/2019,Summer Break
UAE,21/07/2019,Summer Break
UAE,20/07/2019,Summer Break
UAE,19/07/2019,Summer Break
UAE,18/07/2019,Summer Break
UAE,17/07/2019,Summer Break
UAE,16/07/2019,Summer Break
UAE,15/07/2019,Summer Break
UAE,14/07/2019,Summer Break
UAE,13/07/2019,Summer Break
UAE,12/7/2019,Summer Break
UAE,11/7/2019,Summer Break
UAE,10/7/2019,Summer Break
UAE,9/7/2019,Summer Break
UAE,8/7/2019,Summer Break
UAE,7/7/2019,Summer Break
UAE,6/7/2019,Summer Break
UAE,5/7/2019,Summer Break
UAE,4/7/2019,Summer Break
UAE,3/7/2019,Summer Break
UAE,2/7/2019,Summer Break
UAE,1/7/2019,Summer Break
UAE,14/04/2019,Spring Break
UAE,13/04/2019,Spring Break
UAE,12/4/2019,Spring Break
UAE,11/4/2019,Spring Break
UAE,10/4/2019,Spring Break
UAE,9/4/2019,Spring Break
UAE,8/4/2019,Spring Break
UAE,7/4/2019,Spring Break
UAE,6/4/2019,Spring Break
UAE,5/4/2019,Spring Break
UAE,4/4/2019,Spring Break
UAE,3/4/2019,Spring Break
UAE,2/4/2019,Spring Break
UAE,1/4/2019,Spring Break
UAE,31/03/2019,Spring Break
